Territorialidades;ESTADO;Municipio;CodMunicipio;IDHM 2010;IDHM Renda 2010;IDHM Longevidade 2010;IDHM Educação 2010
Madre de Deus de Minas (MG);(MG);Madre de Deus de Minas;313910;0,699;0,667;0,856;0,598
Mãe D'Água (PB);(PB);Mãe D'Água;#N/D;0,542;0,52;0,712;0,429
Mãe do Rio (PA);(PA);Mãe do Rio;#N/D;0,599;0,615;0,763;0,458
Maetinga (BA);(BA);Maetinga;291995;0,538;0,565;0,751;0,368
Mafra (SC);(SC);Mafra;421010;0,777;0,738;0,88;0,723
Magalhães Barata (PA);(PA);Magalhães Barata;#N/D;0,597;0,524;0,801;0,507
Magalhães de Almeida (MA);(MA);Magalhães de Almeida;#N/D;0,567;0,502;0,729;0,499
Magda (SP);(SP);Magda;352830;0,753;0,724;0,823;0,717
Magé (RJ);(RJ);Magé;#N/D;0,709;0,685;0,832;0,626
Maiquinique (BA);(BA);Maiquinique;#N/D;0,576;0,586;0,69;0,472
Mairi (BA);(BA);Mairi;#N/D;0,572;0,575;0,744;0,438
Mairinque (SP);(SP);Mairinque;352840;0,743;0,721;0,831;0,684
Mairiporã (SP);(SP);Mairiporã;#N/D;0,788;0,767;0,881;0,723
Mairipotaba (GO);(GO);Mairipotaba;521260;0,745;0,748;0,854;0,648
Major Gercino (SC);(SC);Major Gercino;421020;0,698;0,738;0,818;0,563
Major Isidoro (AL);(AL);Major Isidoro;270440;0,566;0,566;0,755;0,424
Major Sales (RN);(RN);Major Sales;#N/D;0,617;0,573;0,774;0,529
Major Vieira (SC);(SC);Major Vieira;#N/D;0,69;0,653;0,817;0,617
Malacacheta (MG);(MG);Malacacheta;313920;0,618;0,609;0,768;0,505
Malhada (BA);(BA);Malhada;#N/D;0,562;0,532;0,734;0,454
Malhada de Pedras (BA);(BA);Malhada de Pedras;#N/D;0,578;0,549;0,747;0,471
Malhada dos Bois (SE);(SE);Malhada dos Bois;#N/D;0,599;0,56;0,722;0,531
Malhador (SE);(SE);Malhador;#N/D;0,587;0,587;0,781;0,442
Mallet (PR);(PR);Mallet;411390;0,708;0,681;0,809;0,645
Malta (PB);(PB);Malta;#N/D;0,642;0,62;0,8;0,533
Mamanguape (PB);(PB);Mamanguape;250890;0,585;0,585;0,756;0,453
Mambaí (GO);(GO);Mambaí;#N/D;0,626;0,61;0,816;0,494
Mamborê (PR);(PR);Mamborê;#N/D;0,719;0,698;0,821;0,649
Mamonas (MG);(MG);Mamonas;313925;0,618;0,565;0,779;0,537
Mampituba (RS);(RS);Mampituba;#N/D;0,649;0,65;0,813;0,517
Manacapuru (AM);(AM);Manacapuru;130250;0,614;0,604;0,795;0,481
Manaíra (PB);(PB);Manaíra;#N/D;0,543;0,537;0,698;0,426
Manaquiri (AM);(AM);Manaquiri;130255;0,596;0,556;0,748;0,51
Manari (PE);(PE);Manari;#N/D;0,487;0,477;0,682;0,354
Manaus (AM);(AM);Manaus;130260;0,737;0,738;0,826;0,658
Mâncio Lima (AC);(AC);Mâncio Lima;#N/D;0,625;0,58;0,77;0,546
Mandaguaçu (PR);(PR);Mandaguaçu;#N/D;0,718;0,717;0,825;0,625
Mandaguari (PR);(PR);Mandaguari;411420;0,751;0,732;0,84;0,689
Mandirituba (PR);(PR);Mandirituba;#N/D;0,655;0,677;0,807;0,515
Manduri (SP);(SP);Manduri;352860;0,739;0,73;0,818;0,675
Manfrinópolis (PR);(PR);Manfrinópolis;#N/D;0,645;0,642;0,805;0,52
Manga (MG);(MG);Manga;313930;0,642;0,624;0,799;0,53
Mangaratiba (RJ);(RJ);Mangaratiba;330260;0,753;0,746;0,845;0,676
Mangueirinha (PR);(PR);Mangueirinha;411440;0,688;0,695;0,811;0,579
Manhuaçu (MG);(MG);Manhuaçu;#N/D;0,689;0,692;0,839;0,563
Manhumirim (MG);(MG);Manhumirim;313950;0,697;0,679;0,846;0,589
Manicoré (AM);(AM);Manicoré;#N/D;0,582;0,58;0,747;0,456
Manoel Emídio (PI);(PI);Manoel Emídio;#N/D;0,573;0,534;0,758;0,466
Manoel Ribas (PR);(PR);Manoel Ribas;411450;0,716;0,725;0,806;0,628
Manoel Urbano (AC);(AC);Manoel Urbano;120034;0,551;0,586;0,767;0,373
Manoel Viana (RS);(RS);Manoel Viana;#N/D;0,655;0,686;0,766;0,534
Manoel Vitorino (BA);(BA);Manoel Vitorino;292040;0,566;0,538;0,741;0,456
Mansidão (BA);(BA);Mansidão;#N/D;0,599;0,503;0,752;0,568
Mantena (MG);(MG);Mantena;313960;0,675;0,666;0,803;0,575
Mantenópolis (ES);(ES);Mantenópolis;#N/D;0,657;0,636;0,81;0,551
Maquiné (RS);(RS);Maquiné;#N/D;0,682;0,695;0,88;0,519
Maraã (AM);(AM);Maraã;#N/D;0,498;0,466;0,763;0,348
Marabá (PA);(PA);Marabá;#N/D;0,668;0,673;0,785;0,564
Marabá Paulista (SP);(SP);Marabá Paulista;#N/D;0,677;0,65;0,809;0,591
Maracaçumé (MA);(MA);Maracaçumé;#N/D;0,582;0,546;0,719;0,501
Maracaí (SP);(SP);Maracaí;#N/D;0,771;0,711;0,85;0,758
Maracajá (SC);(SC);Maracajá;#N/D;0,768;0,752;0,861;0,699
Maracaju (MS);(MS);Maracaju;500540;0,736;0,744;0,873;0,613
Maracanã (PA);(PA);Maracanã;#N/D;0,57;0,534;0,764;0,454
Maracanaú (CE);(CE);Maracanaú;#N/D;0,686;0,617;0,788;0,665
Maracás (BA);(BA);Maracás;#N/D;0,607;0,577;0,747;0,519
Maragogi (AL);(AL);Maragogi;270450;0,574;0,556;0,766;0,443
Maragogipe (BA);(BA);Maragogipe;292060;0,621;0,582;0,793;0,518
Maraial (PE);(PE);Maraial;260920;0,534;0,541;0,698;0,403
Marajá do Sena (MA);(MA);Marajá do Sena;#N/D;0,452;0,4;0,774;0,299
Maranguape (CE);(CE);Maranguape;230770;0,659;0,587;0,788;0,618
Maranhãozinho (MA);(MA);Maranhãozinho;#N/D;0,55;0,497;0,719;0,465
Marapanim (PA);(PA);Marapanim;#N/D;0,609;0,57;0,76;0,521
Marapoama (SP);(SP);Marapoama;352885;0,752;0,736;0,852;0,679
Mara Rosa (GO);(GO);Mara Rosa;521280;0,691;0,68;0,838;0,579
Marataízes (ES);(ES);Marataízes;#N/D;0,696;0,676;0,847;0,588
Maratá (RS);(RS);Maratá;#N/D;0,697;0,729;0,862;0,54
Maraú (BA);(BA);Maraú;#N/D;0,593;0,643;0,801;0,404
Marau (RS);(RS);Marau;431180;0,774;0,773;0,857;0,699
Maravilha (AL);(AL);Maravilha;#N/D;0,569;0,539;0,742;0,46
Maravilha (SC);(SC);Maravilha;421050;0,781;0,758;0,886;0,708
Maravilhas (MG);(MG);Maravilhas;313970;0,672;0,645;0,845;0,558
Marcação (PB);(PB);Marcação;#N/D;0,529;0,525;0,691;0,408
Marcelândia (MT);(MT);Marcelândia;#N/D;0,701;0,7;0,813;0,604
Marcelino Ramos (RS);(RS);Marcelino Ramos;#N/D;0,724;0,735;0,834;0,618
Marcelino Vieira (RN);(RN);Marcelino Vieira;#N/D;0,609;0,571;0,776;0,51
Marcionílio Souza (BA);(BA);Marcionílio Souza;#N/D;0,561;0,518;0,737;0,463
Marco (CE);(CE);Marco;#N/D;0,612;0,564;0,734;0,553
Marcolândia (PI);(PI);Marcolândia;#N/D;0,562;0,578;0,7;0,438
Marcos Parente (PI);(PI);Marcos Parente;220600;0,59;0,58;0,717;0,494
Mar de Espanha (MG);(MG);Mar de Espanha;#N/D;0,684;0,694;0,825;0,558
Marechal Cândido Rondon (PR);(PR);Marechal Cândido Rondon;#N/D;0,774;0,782;0,842;0,704
Marechal Deodoro (AL);(AL);Marechal Deodoro;270470;0,642;0,641;0,793;0,52
Marechal Floriano (ES);(ES);Marechal Floriano;320334;0,71;0,715;0,849;0,589
Marechal Thaumaturgo (AC);(AC);Marechal Thaumaturgo;120035;0,501;0,479;0,726;0,361
Marema (SC);(SC);Marema;#N/D;0,743;0,748;0,862;0,636
Maria da Fé (MG);(MG);Maria da Fé;#N/D;0,702;0,646;0,842;0,637
Maria Helena (PR);(PR);Maria Helena;411470;0,703;0,68;0,842;0,607
Marialva (PR);(PR);Marialva;411480;0,735;0,733;0,814;0,666
Mariana (MG);(MG);Mariana;#N/D;0,742;0,705;0,874;0,664
Mariana Pimentel (RS);(RS);Mariana Pimentel;#N/D;0,701;0,701;0,866;0,568
Mariano Moro (RS);(RS);Mariano Moro;#N/D;0,73;0,763;0,843;0,604
Marianópolis do Tocantins (TO);(TO);Marianópolis do Tocantins;#N/D;0,631;0,63;0,792;0,504
Mariápolis (SP);(SP);Mariápolis;#N/D;0,718;0,684;0,83;0,651
Maribondo (AL);(AL);Maribondo;#N/D;0,597;0,581;0,751;0,487
Maricá (RJ);(RJ);Maricá;#N/D;0,765;0,761;0,85;0,692
Marilac (MG);(MG);Marilac;314010;0,615;0,609;0,781;0,488
Marilândia do Sul (PR);(PR);Marilândia do Sul;#N/D;0,691;0,664;0,831;0,599
Marilândia (ES);(ES);Marilândia;#N/D;0,696;0,668;0,823;0,612
Marilena (PR);(PR);Marilena;411500;0,681;0,651;0,828;0,585
Marília (SP);(SP);Marília;#N/D;0,798;0,768;0,854;0,776
Mariluz (PR);(PR);Mariluz;411510;0,639;0,653;0,794;0,504
Maringá (PR);(PR);Maringá;#N/D;0,808;0,806;0,852;0,768
Marinópolis (SP);(SP);Marinópolis;#N/D;0,731;0,681;0,825;0,694
Mário Campos (MG);(MG);Mário Campos;#N/D;0,699;0,68;0,833;0,604
Mariópolis (PR);(PR);Mariópolis;#N/D;0,698;0,717;0,804;0,591
Maripá de Minas (MG);(MG);Maripá de Minas;#N/D;0,68;0,668;0,847;0,555
Maripá (PR);(PR);Maripá;#N/D;0,758;0,736;0,866;0,684
Mari (PB);(PB);Mari;#N/D;0,548;0,553;0,692;0,429
Marituba (PA);(PA);Marituba;150442;0,676;0,621;0,793;0,628
Marizópolis (PB);(PB);Marizópolis;#N/D;0,608;0,582;0,753;0,512
Marliéria (MG);(MG);Marliéria;#N/D;0,657;0,629;0,838;0,537
Marmeleiro (PR);(PR);Marmeleiro;411540;0,722;0,73;0,842;0,613
Marmelópolis (MG);(MG);Marmelópolis;#N/D;0,65;0,615;0,806;0,553
Marques de Souza (RS);(RS);Marques de Souza;431205;0,687;0,743;0,849;0,515
Marquinho (PR);(PR);Marquinho;#N/D;0,614;0,615;0,814;0,463
Martinho Campos (MG);(MG);Martinho Campos;314050;0,669;0,688;0,844;0,515
Martinópole (CE);(CE);Martinópole;#N/D;0,599;0,541;0,76;0,522
Martinópolis (SP);(SP);Martinópolis;#N/D;0,721;0,703;0,832;0,641
Martins (RN);(RN);Martins;240740;0,622;0,58;0,772;0,538
Martins Soares (MG);(MG);Martins Soares;314053;0,635;0,619;0,809;0,512
Maruim (SE);(SE);Maruim;#N/D;0,618;0,59;0,781;0,511
Marumbi (PR);(PR);Marumbi;411550;0,721;0,705;0,826;0,643
Mar Vermelho (AL);(AL);Mar Vermelho;#N/D;0,577;0,54;0,766;0,465
Marzagão (GO);(GO);Marzagão;#N/D;0,699;0,692;0,822;0,601
Mascote (BA);(BA);Mascote;292090;0,581;0,567;0,744;0,464
Massapê (CE);(CE);Massapê;#N/D;0,616;0,541;0,778;0,554
Massapê do Piauí (PI);(PI);Massapê do Piauí;#N/D;0,525;0,514;0,73;0,386
Massaranduba (PB);(PB);Massaranduba;250920;0,567;0,552;0,747;0,441
Massaranduba (SC);(SC);Massaranduba;#N/D;0,774;0,749;0,867;0,714
Mata de São João (BA);(BA);Mata de São João;#N/D;0,668;0,648;0,818;0,562
Mata Grande (AL);(AL);Mata Grande;270500;0,504;0,506;0,685;0,369
Matão (SP);(SP);Matão;#N/D;0,773;0,766;0,847;0,713
Mataraca (PB);(PB);Mataraca;#N/D;0,536;0,533;0,675;0,427
Mata Roma (MA);(MA);Mata Roma;210640;0,57;0,483;0,776;0,494
Mata (RS);(RS);Mata;#N/D;0,656;0,66;0,807;0,529
Mata Verde (MG);(MG);Mata Verde;314055;0,581;0,581;0,749;0,45
Mateiros (TO);(TO);Mateiros;171270;0,607;0,586;0,823;0,463
Matelândia (PR);(PR);Matelândia;#N/D;0,725;0,715;0,831;0,642
Materlândia (MG);(MG);Materlândia;#N/D;0,597;0,557;0,769;0,497
Mateus Leme (MG);(MG);Mateus Leme;314070;0,704;0,688;0,839;0,604
Mathias Lobato (MG);(MG);Mathias Lobato;317150;0,612;0,596;0,795;0,483
Matias Barbosa (MG);(MG);Matias Barbosa;314080;0,72;0,703;0,862;0,616
Matias Cardoso (MG);(MG);Matias Cardoso;314085;0,616;0,584;0,799;0,501
Matias Olímpio (PI);(PI);Matias Olímpio;#N/D;0,562;0,521;0,779;0,438
Matina (BA);(BA);Matina;292105;0,572;0,538;0,74;0,469
Matinha (MA);(MA);Matinha;#N/D;0,619;0,579;0,731;0,56
Matinhas (PB);(PB);Matinhas;250933;0,541;0,531;0,747;0,4
Matinhos (PR);(PR);Matinhos;411570;0,743;0,743;0,834;0,662
Matipó (MG);(MG);Matipó;#N/D;0,631;0,63;0,78;0,511
Mato Castelhano (RS);(RS);Mato Castelhano;431213;0,727;0,752;0,839;0,608
Matões do Norte (MA);(MA);Matões do Norte;#N/D;0,533;0,452;0,768;0,436
Matões (MA);(MA);Matões;#N/D;0,55;0,519;0,739;0,434
Mato Grosso (PB);(PB);Mato Grosso;#N/D;0,565;0,566;0,76;0,419
Mato Leitão (RS);(RS);Mato Leitão;#N/D;0,746;0,721;0,853;0,676
Mato Queimado (RS);(RS);Mato Queimado;#N/D;0,717;0,702;0,87;0,603
Mato Rico (PR);(PR);Mato Rico;411573;0,632;0,58;0,812;0,536
Matos Costa (SC);(SC);Matos Costa;#N/D;0,657;0,63;0,831;0,541
Mato Verde (MG);(MG);Mato Verde;314100;0,662;0,604;0,789;0,61
Matozinhos (MG);(MG);Matozinhos;314110;0,731;0,69;0,864;0,654
Matrinchã (GO);(GO);Matrinchã;#N/D;0,679;0,651;0,84;0,572
Matriz de Camaragibe (AL);(AL);Matriz de Camaragibe;270510;0,584;0,541;0,777;0,473
Matupá (MT);(MT);Matupá;#N/D;0,716;0,706;0,824;0,631
Maturéia (PB);(PB);Maturéia;#N/D;0,572;0,54;0,73;0,474
Matutina (MG);(MG);Matutina;314120;0,707;0,744;0,859;0,552
Mauá da Serra (PR);(PR);Mauá da Serra;#N/D;0,652;0,661;0,793;0,529
Mauá (SP);(SP);Mauá;#N/D;0,766;0,721;0,852;0,733
Maués (AM);(AM);Maués;#N/D;0,588;0,549;0,8;0,464
Maurilândia do Tocantins (TO);(TO);Maurilândia do Tocantins;#N/D;0,58;0,542;0,724;0,498
Maurilândia (GO);(GO);Maurilândia;#N/D;0,677;0,682;0,823;0,554
Mauriti (CE);(CE);Mauriti;230810;0,605;0,544;0,772;0,526
Maxaranguape (RN);(RN);Maxaranguape;#N/D;0,608;0,582;0,764;0,506
Maximiliano de Almeida (RS);(RS);Maximiliano de Almeida;#N/D;0,699;0,699;0,825;0,591
Mazagão (AP);(AP);Mazagão;#N/D;0,592;0,609;0,758;0,449
Medeiros (MG);(MG);Medeiros;#N/D;0,711;0,722;0,851;0,584
Medeiros Neto (BA);(BA);Medeiros Neto;292110;0,625;0,626;0,777;0,501
Medianeira (PR);(PR);Medianeira;411580;0,763;0,762;0,849;0,686
Medicilândia (PA);(PA);Medicilândia;#N/D;0,582;0,605;0,8;0,408
Medina (MG);(MG);Medina;314140;0,624;0,624;0,821;0,475
Meleiro (SC);(SC);Meleiro;#N/D;0,738;0,734;0,808;0,679
Melgaço (PA);(PA);Melgaço;#N/D;0,418;0,454;0,776;0,207
Mendes Pimentel (MG);(MG);Mendes Pimentel;314150;0,626;0,617;0,768;0,518
Mendes (RJ);(RJ);Mendes;330280;0,736;0,707;0,806;0,7
Mendonça (SP);(SP);Mendonça;#N/D;0,744;0,72;0,863;0,663
Mercedes (PR);(PR);Mercedes;411585;0,74;0,708;0,843;0,68
Mercês (MG);(MG);Mercês;#N/D;0,664;0,683;0,831;0,515
Meridiano (SP);(SP);Meridiano;352960;0,731;0,717;0,817;0,667
Meruoca (CE);(CE);Meruoca;230820;0,618;0,559;0,761;0,554
Mesópolis (SP);(SP);Mesópolis;#N/D;0,724;0,674;0,847;0,666
Mesquita (MG);(MG);Mesquita;314170;0,656;0,638;0,796;0,555
Mesquita (RJ);(RJ);Mesquita;330285;0,737;0,704;0,839;0,678
Messias (AL);(AL);Messias;270520;0,568;0,557;0,714;0,46
Messias Targino (RN);(RN);Messias Targino;#N/D;0,644;0,608;0,779;0,565
Miguel Alves (PI);(PI);Miguel Alves;220620;0,539;0,533;0,742;0,396
Miguel Calmon (BA);(BA);Miguel Calmon;292120;0,586;0,571;0,745;0,472
Miguel Leão (PI);(PI);Miguel Leão;#N/D;0,623;0,579;0,782;0,533
Miguelópolis (SP);(SP);Miguelópolis;#N/D;0,741;0,712;0,863;0,661
Miguel Pereira (RJ);(RJ);Miguel Pereira;330290;0,745;0,74;0,828;0,675
Milagres (BA);(BA);Milagres;#N/D;0,622;0,59;0,789;0,518
Milagres (CE);(CE);Milagres;230830;0,628;0,561;0,777;0,569
Milagres do Maranhão (MA);(MA);Milagres do Maranhão;#N/D;0,527;0,465;0,764;0,413
Milhã (CE);(CE);Milhã;#N/D;0,626;0,56;0,784;0,558
Milton Brandão (PI);(PI);Milton Brandão;#N/D;0,508;0,476;0,772;0,357
Mimoso de Goiás (GO);(GO);Mimoso de Goiás;#N/D;0,665;0,656;0,825;0,543
Mimoso do Sul (ES);(ES);Mimoso do Sul;320340;0,67;0,672;0,827;0,541
Minaçu (GO);(GO);Minaçu;#N/D;0,707;0,691;0,803;0,637
Minador do Negrão (AL);(AL);Minador do Negrão;#N/D;0,563;0,541;0,767;0,43
Minas do Leão (RS);(RS);Minas do Leão;#N/D;0,681;0,743;0,826;0,514
Minas Novas (MG);(MG);Minas Novas;314180;0,633;0,6;0,802;0,528
Minduri (MG);(MG);Minduri;#N/D;0,658;0,631;0,805;0,56
Mineiros do Tietê (SP);(SP);Mineiros do Tietê;#N/D;0,73;0,719;0,823;0,658
Mineiros (GO);(GO);Mineiros;521310;0,718;0,753;0,84;0,584
Ministro Andreazza (RO);(RO);Ministro Andreazza;#N/D;0,638;0,647;0,776;0,518
Mirabela (MG);(MG);Mirabela;314200;0,665;0,596;0,794;0,622
Miracatu (SP);(SP);Miracatu;352990;0,697;0,645;0,803;0,655
Miracema do Tocantins (TO);(TO);Miracema do Tocantins;171320;0,684;0,675;0,82;0,579
Miracema (RJ);(RJ);Miracema;330300;0,713;0,696;0,805;0,646
Mirador (MA);(MA);Mirador;210670;0,545;0,485;0,74;0,451
Mirador (PR);(PR);Mirador;411590;0,68;0,656;0,8;0,599
Miradouro (MG);(MG);Miradouro;314210;0,663;0,645;0,827;0,546
Mira Estrela (SP);(SP);Mira Estrela;353000;0,743;0,697;0,806;0,731
Miraguaí (RS);(RS);Miraguaí;#N/D;0,725;0,744;0,837;0,613
Miraíma (CE);(CE);Miraíma;#N/D;0,592;0,51;0,778;0,523
Miraí (MG);(MG);Miraí;#N/D;0,68;0,663;0,837;0,567
Miranda do Norte (MA);(MA);Miranda do Norte;210675;0,61;0,55;0,751;0,55
Miranda (MS);(MS);Miranda;500560;0,632;0,638;0,782;0,507
Mirandiba (PE);(PE);Mirandiba;260930;0,591;0,512;0,769;0,525
Mirandópolis (SP);(SP);Mirandópolis;#N/D;0,751;0,732;0,869;0,665
Mirangaba (BA);(BA);Mirangaba;292140;0,542;0,512;0,685;0,454
Miranorte (TO);(TO);Miranorte;171330;0,662;0,633;0,804;0,571
Mirante (BA);(BA);Mirante;292145;0,527;0,524;0,722;0,386
Mirante da Serra (RO);(RO);Mirante da Serra;110130;0,643;0,673;0,8;0,494
Mirante do Paranapanema (SP);(SP);Mirante do Paranapanema;353020;0,724;0,67;0,841;0,674
Miraselva (PR);(PR);Miraselva;411600;0,748;0,694;0,854;0,707
Mirassolândia (SP);(SP);Mirassolândia;#N/D;0,738;0,704;0,829;0,69
Mirassol D'Oeste (MT);(MT);Mirassol D'Oeste;510562;0,704;0,723;0,816;0,592
Mirassol (SP);(SP);Mirassol;353030;0,762;0,748;0,846;0,698
Miravânia (MG);(MG);Miravânia;#N/D;0,593;0,544;0,781;0,492
Mirim Doce (SC);(SC);Mirim Doce;421085;0,708;0,683;0,821;0,633
Mirinzal (MA);(MA);Mirinzal;210680;0,622;0,546;0,756;0,582
Missal (PR);(PR);Missal;411605;0,711;0,714;0,828;0,608
Missão Velha (CE);(CE);Missão Velha;#N/D;0,622;0,579;0,754;0,552
Mocajuba (PA);(PA);Mocajuba;150460;0,575;0,539;0,754;0,467
Mococa (SP);(SP);Mococa;353050;0,762;0,756;0,827;0,709
Modelo (SC);(SC);Modelo;421090;0,76;0,751;0,886;0,659
Moeda (MG);(MG);Moeda;314230;0,638;0,657;0,8;0,494
Moema (MG);(MG);Moema;314240;0,721;0,703;0,848;0,629
Mogeiro (PB);(PB);Mogeiro;#N/D;0,574;0,538;0,732;0,481
Mogi das Cruzes (SP);(SP);Mogi das Cruzes;353060;0,783;0,762;0,851;0,74
Mogi Guaçu (SP);(SP);Mogi Guaçu;#N/D;0,774;0,74;0,852;0,736
Mogi Mirim (SP);(SP);Mogi Mirim;353080;0,784;0,767;0,879;0,715
Moiporá (GO);(GO);Moiporá;#N/D;0,696;0,652;0,818;0,632
Moita Bonita (SE);(SE);Moita Bonita;280410;0,587;0,596;0,792;0,429
Moju (PA);(PA);Moju;150470;0,547;0,578;0,757;0,375
Mombaça (CE);(CE);Mombaça;#N/D;0,582;0,549;0,735;0,489
Mombuca (SP);(SP);Mombuca;353090;0,719;0,746;0,82;0,607
Monção (MA);(MA);Monção;#N/D;0,546;0,499;0,704;0,464
Monções (SP);(SP);Monções;#N/D;0,772;0,731;0,814;0,773
Mondaí (SC);(SC);Mondaí;#N/D;0,748;0,728;0,875;0,657
Mongaguá (SP);(SP);Mongaguá;#N/D;0,754;0,719;0,854;0,699
Monjolos (MG);(MG);Monjolos;#N/D;0,65;0,612;0,819;0,548
Monsenhor Gil (PI);(PI);Monsenhor Gil;220640;0,615;0,568;0,781;0,524
Monsenhor Hipólito (PI);(PI);Monsenhor Hipólito;#N/D;0,561;0,591;0,739;0,404
Monsenhor Paulo (MG);(MG);Monsenhor Paulo;314260;0,721;0,682;0,839;0,654
Monsenhor Tabosa (CE);(CE);Monsenhor Tabosa;#N/D;0,61;0,545;0,773;0,538
Montadas (PB);(PB);Montadas;250950;0,59;0,545;0,748;0,505
Montalvânia (MG);(MG);Montalvânia;#N/D;0,613;0,586;0,799;0,492
Montanha (ES);(ES);Montanha;320350;0,667;0,679;0,816;0,535
Montanhas (RN);(RN);Montanhas;#N/D;0,557;0,553;0,7;0,447
Montauri (RS);(RS);Montauri;#N/D;0,764;0,79;0,852;0,662
Monte Alegre de Goiás (GO);(GO);Monte Alegre de Goiás;#N/D;0,615;0,592;0,816;0,481
Monte Alegre de Minas (MG);(MG);Monte Alegre de Minas;314280;0,674;0,699;0,848;0,516
Monte Alegre de Sergipe (SE);(SE);Monte Alegre de Sergipe;280420;0,553;0,539;0,726;0,431
Monte Alegre do Piauí (PI);(PI);Monte Alegre do Piauí;#N/D;0,578;0,531;0,768;0,474
Monte Alegre dos Campos (RS);(RS);Monte Alegre dos Campos;#N/D;0,65;0,667;0,822;0,501
Monte Alegre do Sul (SP);(SP);Monte Alegre do Sul;353120;0,759;0,752;0,858;0,678
Monte Alegre (PA);(PA);Monte Alegre;#N/D;0,589;0,541;0,764;0,495
Monte Alegre (RN);(RN);Monte Alegre;#N/D;0,609;0,578;0,77;0,507
Monte Alto (SP);(SP);Monte Alto;353130;0,768;0,746;0,859;0,707
Monte Aprazível (SP);(SP);Monte Aprazível;#N/D;0,785;0,781;0,861;0,72
Monte Azul (MG);(MG);Monte Azul;314290;0,659;0,611;0,811;0,578
Monte Azul Paulista (SP);(SP);Monte Azul Paulista;353150;0,753;0,733;0,843;0,69
Monte Belo do Sul (RS);(RS);Monte Belo do Sul;#N/D;0,752;0,752;0,852;0,663
Monte Belo (MG);(MG);Monte Belo;314300;0,688;0,677;0,847;0,567
Monte Carlo (SC);(SC);Monte Carlo;421105;0,643;0,648;0,804;0,511
Monte Carmelo (MG);(MG);Monte Carmelo;314310;0,728;0,716;0,868;0,62
Monte Castelo (SC);(SC);Monte Castelo;#N/D;0,675;0,641;0,826;0,581
Monte Castelo (SP);(SP);Monte Castelo;353160;0,741;0,706;0,814;0,709
Monte das Gameleiras (RN);(RN);Monte das Gameleiras;#N/D;0,598;0,56;0,752;0,509
Monte do Carmo (TO);(TO);Monte do Carmo;171360;0,622;0,608;0,808;0,489
Monte Formoso (MG);(MG);Monte Formoso;#N/D;0,541;0,523;0,765;0,396
Monte Horebe (PB);(PB);Monte Horebe;#N/D;0,587;0,579;0,755;0,463
Monteiro Lobato (SP);(SP);Monteiro Lobato;353170;0,71;0,692;0,826;0,627
Monteiro (PB);(PB);Monteiro;250970;0,628;0,625;0,709;0,558
Monteirópolis (AL);(AL);Monteirópolis;#N/D;0,539;0,497;0,71;0,443
Monte Mor (SP);(SP);Monte Mor;353180;0,733;0,713;0,863;0,639
Monte Negro (RO);(RO);Monte Negro;#N/D;0,607;0,645;0,762;0,454
Montenegro (RS);(RS);Montenegro;431240;0,755;0,761;0,866;0,654
Montes Altos (MA);(MA);Montes Altos;210700;0,575;0,534;0,732;0,486
Monte Santo (BA);(BA);Monte Santo;292150;0,506;0,515;0,699;0,359
Monte Santo de Minas (MG);(MG);Monte Santo de Minas;314320;0,71;0,689;0,874;0,595
Monte Santo do Tocantins (TO);(TO);Monte Santo do Tocantins;#N/D;0,62;0,572;0,76;0,547
Montes Claros de Goiás (GO);(GO);Montes Claros de Goiás;#N/D;0,707;0,704;0,806;0,622
Montes Claros (MG);(MG);Montes Claros;314330;0,77;0,707;0,868;0,744
Monte Sião (MG);(MG);Monte Sião;#N/D;0,724;0,732;0,878;0,59
Montezuma (MG);(MG);Montezuma;314345;0,587;0,587;0,809;0,425
Montividiu do Norte (GO);(GO);Montividiu do Norte;521377;0,613;0,578;0,816;0,488
Montividiu (GO);(GO);Montividiu;521375;0,733;0,738;0,827;0,644
Morada Nova (CE);(CE);Morada Nova;230870;0,61;0,569;0,758;0,525
Morada Nova de Minas (MG);(MG);Morada Nova de Minas;314350;0,696;0,688;0,83;0,59
Moraújo (CE);(CE);Moraújo;#N/D;0,581;0,495;0,768;0,516
Moreilândia (PE);(PE);Moreilândia;#N/D;0,6;0,522;0,768;0,54
Moreira Sales (PR);(PR);Moreira Sales;411610;0,675;0,673;0,802;0,57
Moreno (PE);(PE);Moreno;260940;0,652;0,61;0,805;0,564
Mormaço (RS);(RS);Mormaço;#N/D;0,714;0,735;0,86;0,576
Morpará (BA);(BA);Morpará;#N/D;0,558;0,536;0,732;0,444
Morretes (PR);(PR);Morretes;411620;0,686;0,71;0,837;0,544
Morrinhos (CE);(CE);Morrinhos;#N/D;0,588;0,524;0,76;0,511
Morrinhos do Sul (RS);(RS);Morrinhos do Sul;431244;0,711;0,72;0,842;0,593
Morrinhos (GO);(GO);Morrinhos;521380;0,734;0,739;0,862;0,621
Morro Agudo de Goiás (GO);(GO);Morro Agudo de Goiás;#N/D;0,695;0,644;0,826;0,63
Morro Agudo (SP);(SP);Morro Agudo;353190;0,712;0,716;0,836;0,604
Morro Cabeça no Tempo (PI);(PI);Morro Cabeça no Tempo;#N/D;0,542;0,472;0,774;0,435
Morro da Fumaça (SC);(SC);Morro da Fumaça;#N/D;0,738;0,732;0,825;0,665
